,Unnamed: 0,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,exp_tol,No_spending,Group,Group_size,Solo,Cabin_deck,Cabin_number,Cabin_side,Family_Size,Expenditure
13,13,0010_01,Earth,True,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,809.0,0,10,1,1,G,1.0,S,6,809.0
14,14,0011_01,Earth,True,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,1003.0,0,11,1,1,F,2.0,P,9,1003.0
15,15,0012_01,Earth,True,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,908.0,0,12,1,1,G,-2.0,S,12,908.0
16,16,0014_01,Mars,True,55 Cancri e,27.0,False,1286.0,122.0,557.0392156862745,0.0,0.0,1408.0,0,14,1,1,F,3.0,P,2,1965.0392156862745
17,17,0015_01,Earth,True,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,638.0,0,15,1,1,F,4.0,P,9,638.0
18,18,0016_01,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,16,1,1,F,5.0,P,7,0.0
19,19,0017_01,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,17,2,0,G,0.0,P,8,0.0
20,20,0017_02,Earth,True,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,1092.0,0,17,2,0,F,6.0,P,8,1092.0
21,21,0020_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,20,6,0,E,0.0,S,8,0.0
22,22,0020_02,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,20,6,0,E,0.0,S,8,0.0
23,23,0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,20,6,0,E,0.0,S,7,0.0
24,24,0020_04,Earth,True,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,20,6,0,E,0.0,S,6,0.0
25,25,0020_05,Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,20,6,0,E,0.0,S,8,0.0
26,26,0020_06,Earth,True,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,20,6,0,E,0.0,S,7,0.0
27,27,0022_01,Mars,True,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,1051.0,0,22,1,1,D,0.0,P,0,1051.0
28,28,0024_01,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,24,1,1,C,2.0,S,1,0.0
29,29,0025_01,Earth,True,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,1223.0,0,25,1,1,F,6.0,S,6,1223.0
30,30,0026_01,Europa,True,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,7861.0,0,26,1,1,C,0.0,P,2,7861.0
31,31,0028_01,Mars,True,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,1309.0,0,28,1,1,F,8.0,P,5,1309.0
32,32,0030_01,Earth,True,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,1821.0,0,30,1,1,G,4.0,S,4,1821.0
33,33,0031_01,Mars,True,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,2854.0,0,31,3,0,F,9.0,P,5,2854.0
34,34,0031_02,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,31,3,0,F,9.0,P,5,0.0
35,35,0031_03,Mars,True,TRAPPIST-1e,20.0,False,364.9111111111111,0.0,1750.0,990.0,0.0,2740.0,0,31,3,0,F,9.0,P,5,3104.911111111111
36,36,0034_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,34,1,1,D,1.0,S,1,0.0
37,37,0035_01,Mars,True,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,2699.0,0,35,1,1,D,1.0,P,6,2699.0
38,38,0036_01,Earth,True,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,961.0,0,36,1,1,F,8.0,S,6,961.0
39,39,0038_01,Earth,True,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,3355.0,0,38,1,1,F,10.0,S,7,3355.0
40,40,0039_01,Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,39,1,1,G,1.0,P,2,0.0
41,41,0041_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,41,1,1,G,2.0,P,11,0.0
42,42,0043_01,Europa,True,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,3575.0,0,43,1,1,B,3.0,P,3,3575.0
43,43,0044_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,44,3,0,G,3.0,P,9,0.0
44,44,0044_02,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,44,3,0,G,3.0,P,9,0.0
45,45,0044_03,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,44,3,0,G,3.0,P,9,0.0
46,46,0045_01,Mars,True,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,1214.0,0,45,2,0,F,10.0,P,7,1214.0
47,47,0045_02,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,45,2,0,F,10.0,P,7,0.0
48,48,0050_01,Earth,True,55 Cancri e,35.0,False,790.0,0.0,0.0,121.26436781609195,0.0,790.0,0,50,1,1,E,1.0,S,3,911.264367816092
49,49,0051_01,Earth,True,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,1618.0,0,51,1,1,E,2.0,S,6,1618.0
50,50,0052_01,Earth,True,TRAPPIST-1e,26.0,False,4.0,0.0,2.0,4683.0,0.0,4689.0,0,52,1,1,G,6.0,S,8,4689.0
51,51,0053_01,Earth,True,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,1939.0,0,53,1,1,F,11.0,S,10,1939.0
52,52,0056_01,Europa,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,56,3,0,A,1.0,S,6,0.0
53,53,0056_02,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,56,3,0,A,1.0,S,6,0.0
54,54,0056_03,Europa,True,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,4547.0,0,56,3,0,A,1.0,S,6,4547.0
55,55,0058_01,Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,1,G,7.0,S,6,0.0
56,56,0061_01,Earth,True,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,2667.0,0,61,1,1,F,12.0,S,5,2667.0
57,57,0062_01,Earth,True,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,634.0,0,62,1,1,F,13.0,S,8,634.0
58,58,0064_01,Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,64,2,0,F,14.0,S,7,0.0
59,59,0064_02,Mars,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,64,2,0,E,3.0,S,7,0.0
60,60,0066_01,Earth,True,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,811.0,0,66,1,1,G,6.0,P,5,811.0
61,61,0067_01,Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,67,3,0,G,10.0,S,9,0.0
62,62,0067_02,Earth,True,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,705.0,0,67,3,0,G,10.0,S,9,705.0
63,63,0067_03,Earth,True,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,2007.0,0,67,3,0,F,15.0,S,9,2007.0
64,64,0068_01,Mars,True,TRAPPIST-1e,28.0,False,793.0,0.0,2.0,253.0,0.0,1048.0,0,68,1,1,E,4.0,S,3,1048.0
65,65,0069_01,Earth,True,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,902.0,0,69,1,1,F,16.0,S,0,902.0
66,66,0070_01,Earth,True,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,922.0,0,70,1,1,F,13.0,P,8,922.0
67,67,0071_01,Earth,True,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,2233.0,0,71,1,1,F,14.0,P,3,2233.0
68,68,0072_01,Earth,True,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,1064.0,0,72,1,1,F,17.0,S,8,1064.0
69,69,0073_01,Mars,True,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,879.0,0,73,1,1,D,3.0,P,11,879.0
70,70,0074_01,Europa,True,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,8904.0,0,74,1,1,C,3.0,S,7,8904.0
71,71,0076_01,Mars,True,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,1165.0,0,76,1,1,F,18.0,S,11,1165.0
72,72,0077_01,Mars,True,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,1309.0,0,77,1,1,F,15.0,P,2,1309.0
73,73,0078_01,Europa,True,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,15815.0,0,78,1,1,C,4.0,S,4,15815.0
74,74,0081_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,81,1,1,G,13.0,S,9,0.0
75,75,0082_01,Mars,True,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,7406.0,0,82,3,0,F,16.0,P,7,7406.0
76,76,0082_02,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,82,3,0,F,16.0,P,7,0.0
77,77,0082_03,Mars,True,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,82,3,0,F,16.0,P,7,0.0
78,78,0084_01,Earth,True,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,705.0,0,84,1,1,G,14.0,S,6,705.0
79,79,0085_01,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,85,1,1,C,5.0,S,2,0.0
80,80,0086_01,Earth,True,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,1362.0,0,86,1,1,F,17.0,P,8,1362.0
81,81,0088_01,Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,88,1,1,E,5.0,S,5,0.0
82,82,0090_01,Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,90,1,1,G,15.0,S,11,0.0
83,83,0091_01,Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,91,2,0,G,16.0,S,13,0.0
84,84,0091_02,Earth,True,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,917.0,0,91,2,0,F,20.0,S,13,917.0
85,85,0092_01,Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,705.0,0,92,3,0,G,9.0,P,5,705.0
86,86,0092_02,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,92,3,0,G,9.0,P,10,0.0
87,87,0092_03,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,92,3,0,G,9.0,P,10,0.0
88,88,0097_01,Europa,True,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,1848.0,0,97,1,1,A,2.0,S,5,1848.0
89,89,0098_01,Earth,True,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,893.0,0,98,2,0,G,11.0,P,6,893.0
90,90,0098_02,Earth,True,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,3855.0,0,98,2,0,G,11.0,P,6,3855.0
91,91,0099_01,Earth,True,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,1301.0,0,99,2,0,F,19.0,P,3,1301.0
92,92,0099_02,Earth,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,99,2,0,G,12.0,P,4,0.0
93,93,0101_01,Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,101,1,1,F,16.0,S,6,0.0
94,94,0102_01,Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,921.0,0,102,1,1,F,23.0,S,5,921.0
95,95,0103_01,Earth,True,TRAPPIST-1e,24.0,False,0.0,158.4025974025974,0.0,0.0,17.0,17.0,0,103,3,0,F,24.0,S,6,175.4025974025974
96,96,0103_02,Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,103,3,0,G,18.0,S,6,0.0
97,97,0103_03,Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,103,3,0,G,18.0,S,6,0.0
98,98,0105_01,Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,703.0,0,105,1,1,F,21.0,P,9,703.0
99,99,0107_01,Mars,True,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,1765.0,0,107,1,1,D,2.0,S,4,1765.0
100,100,0108_01,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,108,3,0,G,19.0,S,11,0.0
101,101,0108_02,Earth,True,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,888.0,0,108,3,0,G,19.0,S,11,888.0
102,102,0108_03,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,108,3,0,G,19.0,S,11,0.0
103,103,0110_01,Europa,True,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,5109.0,0,110,4,0,B,4.0,P,7,5109.0
104,104,0110_02,Europa,True,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,2018.0,0,110,4,0,B,5.0,P,2,2018.0
105,105,0110_03,Europa,True,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,15940.0,0,110,4,0,B,5.0,P,7,15940.0
106,106,0110_04,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,110,4,0,B,5.0,P,7,0.0
107,107,0111_01,Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,111,1,1,E,6.0,S,6,0.0
108,108,0112_01,Europa,True,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,2654.0,0,112,1,1,B,1.0,S,2,2654.0
109,109,0113_01,Earth,True,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,804.0,0,113,1,1,F,23.0,P,8,804.0
110,110,0114_01,Earth,True,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,907.0,0,114,1,1,G,20.0,S,7,907.0
111,111,0115_01,Mars,False,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,31.914893617021278,0.0,0,115,1,1,F,24.0,P,5,31.914893617021278
112,112,0116_01,Europa,True,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,2640.0,0,116,1,1,D,4.0,P,2,2640.0
113,113,0119_01,Europa,True,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,9307.0,0,119,2,0,A,0.0,P,5,9307.0
114,114,0119_02,Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,119,2,0,A,0.0,P,5,0.0
115,115,0120_01,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,120,1,1,F,25.0,P,5,0.0
116,116,0122_01,Earth,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,773.0,0,122,1,1,G,21.0,S,10,773.0
117,117,0123_01,Earth,True,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,702.0,0,123,1,1,F,27.0,P,9,702.0
118,118,0126_01,Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,126,1,1,F,27.0,S,3,0.0
119,119,0127_01,Mars,True,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,1022.0,0,127,1,1,E,7.0,S,3,1022.0
120,120,0128_01,Mars,True,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,3014.0,0,128,2,0,D,3.0,S,3,3014.0
121,121,0128_02,Mars,True,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,2109.0,0,128,2,0,E,8.0,S,3,2109.0
122,122,0129_01,Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,129,1,1,G,22.0,S,7,0.0
123,123,0133_01,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,133,2,0,F,29.0,S,7,0.0
124,124,0133_02,Mars,True,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,2738.0,0,133,2,0,D,5.0,S,7,2738.0
125,125,0134_01,Earth,True,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,744.0,0,134,1,1,G,17.0,P,6,744.0
126,126,0136_01,Earth,True,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,721.0,0,136,1,1,G,23.0,S,0,721.0
127,127,0138_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,138,2,0,G,18.0,P,6,0.0
128,128,0138_02,Earth,True,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,793.0,0,138,2,0,E,5.0,P,6,793.0
129,129,0139_01,Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,139,1,1,C,6.0,S,9,0.0
130,130,0140_01,Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,140,2,0,G,19.0,P,9,0.0
131,131,0140_02,Earth,True,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,902.0,0,140,2,0,F,29.0,P,5,902.0
132,132,0141_01,Mars,True,TRAPPIST-1e,31.0,False,732.2,0.0,97.0,0.0,0.0,97.0,0,141,1,1,F,30.0,P,3,829.2
133,133,0144_01,Earth,True,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,630.0,0,144,1,1,F,31.0,S,6,630.0
134,134,0146_01,Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,146,1,1,G,25.0,S,12,0.0
135,135,0147_01,Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,147,1,1,G,26.0,S,9,0.0
136,136,0148_01,Mars,True,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,1158.0,0,148,1,1,F,31.0,P,7,1158.0
137,137,0149_01,Earth,True,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,149,1,1,G,27.0,S,9,0.0
138,138,0151_01,Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,151,1,1,G,20.0,P,10,0.0
139,139,0152_01,Earth,True,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,607.0,607.0,0,152,1,1,F,32.0,P,6,607.0
140,140,0160_01,Earth,True,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,4180.0,0,160,1,1,G,22.0,P,5,4180.0
141,141,0163_01,Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,163,2,0,B,8.0,P,6,0.0
142,142,0163_02,Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,163,2,0,B,8.0,P,6,0.0
143,143,0164_01,Earth,True,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,55.42857142857143,135.0,1873.0,0,164,2,0,G,28.0,S,6,1928.4285714285713
144,144,0164_02,Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,164,2,0,G,28.0,S,6,0.0
145,145,0165_01,Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,165,1,1,F,37.0,P,3,0.0
146,146,0167_01,Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,167,2,0,F,35.0,S,8,0.0
147,147,0167_02,Mars,True,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,1572.0,0,167,2,0,F,35.0,S,8,1572.0
148,148,0169_01,Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,169,1,1,G,23.0,P,7,0.0
149,149,0170_01,Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,788.0,0,170,1,1,E,10.0,S,5,788.0
150,150,0171_01,Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,171,1,1,G,30.0,S,12,0.0
151,151,0172_01,Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,172,1,1,G,24.0,P,6,0.0
152,152,0173_01,Earth,True,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,990.0,0,173,1,1,E,11.0,S,4,990.0
153,153,0174_01,Earth,True,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,593.0,0,174,1,1,F,38.0,P,8,593.0
154,154,0177_01,Europa,True,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,27428.0,0,177,1,1,B,2.0,S,4,27428.0
155,155,0178_01,Mars,True,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,3722.0,0,178,1,1,D,6.0,S,7,3722.0
156,156,0179_01,Earth,True,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,906.0,0,179,3,0,G,26.0,P,10,906.0
157,157,0179_02,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,179,3,0,G,26.0,P,10,0.0
158,158,0179_03,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,179,3,0,G,26.0,P,10,0.0
159,159,0181_01,Earth,True,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,394.0,0,181,1,1,G,27.0,P,8,394.0
160,160,0182_01,Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,182,1,1,C,3.0,P,2,0.0
161,161,0183_01,Earth,True,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,821.0,0,183,1,1,F,36.0,S,9,821.0
162,162,0186_01,Earth,True,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,1018.0,0,186,1,1,G,28.0,P,8,1018.0
163,163,0188_01,Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,188,1,1,G,31.0,S,5,0.0
164,164,0189_01,Earth,True,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,788.0,0,189,1,1,E,8.0,P,4,788.0
165,165,0190_01,Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,190,1,1,G,32.0,S,0,0.0
166,166,0192_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,192,3,0,G,29.0,P,10,0.0
167,167,0192_02,Earth,True,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,192,3,0,G,29.0,P,10,0.0
168,168,0192_03,Earth,True,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,908.0,0,192,3,0,G,29.0,P,10,908.0
169,169,0193_01,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,193,3,0,F,41.0,P,5,0.0
170,170,0193_02,Mars,True,TRAPPIST-1e,23.0,False,649.7631578947369,0.0,8.0,1072.0,0.0,1080.0,0,193,3,0,F,41.0,P,5,1729.7631578947369
171,171,0193_03,Mars,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,193,3,0,F,41.0,P,5,0.0
172,172,0195_01,Mars,True,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,1273.0,0,195,1,1,F,42.0,P,8,1273.0
173,173,0196_01,Mars,True,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,1778.0,0,196,1,1,D,5.0,P,9,1778.0
